# Delays, Delay errors, Counts
6.684883554743728418e+00,3.541299753043524270e-04,5.000000000000000000e+00
6.705675927760606392e+00,3.541436996161886181e-04,2.000000000000000000e+00
6.726468300777485254e+00,3.541574671713419937e-04,6.000000000000000000e+00
6.747260673794363228e+00,3.541712779647696583e-04,1.000000000000000000e+01
6.768053046811242091e+00,3.541851319914135921e-04,1.000000000000000000e+01
6.788845419828120065e+00,3.541990292462007589e-04,2.000000000000000000e+00
6.809637792844998927e+00,3.542129697240430520e-04,7.000000000000000000e+00
6.830430165861876901e+00,3.542269534198374571e-04,3.000000000000000000e+00
6.851222538878754875e+00,3.542409803284658895e-04,3.000000000000000000e+00
6.872014911895633738e+00,3.542550504447951397e-04,1.000000000000000000e+01
6.892807284912511712e+00,3.542691637636771989e-04,6.000000000000000000e+00
6.913599657929390574e+00,3.542833202799489881e-04,3.000000000000000000e+00
6.934392030946268548e+00,3.542975199884324119e-04,7.000000000000000000e+00
6.955184403963147410e+00,3.543117628839344670e-04,2.000000000000000000e+00
6.975976776980025384e+00,3.543260489612471342e-04,5.000000000000000000e+00
6.996769149996903359e+00,3.543403782151475405e-04,7.000000000000000000e+00
7.017561523013782221e+00,3.543547506403977427e-04,8.000000000000000000e+00
7.038353896030660195e+00,3.543691662317449980e-04,8.000000000000000000e+00
